channel,view_count,title,description
Saerom Min개코의 오픈스튜디오,189427,최초공개 얼마나 끈적하길래... 글루 글로스 대신써드림,422(화) 오후 600 오픈!  글맆 공식몰(glyfing.com) 에서  오직 첫번째 드롭 에서만! 최저가 혜택가로 글루 글로스를 만날 수 있습니다   글맆 글루 글로스 5SET (300개 한정!!!) 80 000원  25 OFF 60 000원  개당 12 000원   글맆 글루 글로스 2SET 32 000원  20 OFF 25 600원 개당 12 800원   글맆 글루 글로스 단품 16 000원  15 OFF 13 600원    EVENT 자유댓글 달아주시는 분 다섯분을 추첨하여  글루글로스 스페셜 패키지 제품(비매품)을 드려요! (당첨자발표  4월25일  개별 답댓글과 본문을 통하여)     0000 인트로 0035 글루 글로스가 출시했어요! 0042 글루 글로스 제형 0334 스페셜 키트!? 405 시크릿 QR코드!? 글루글로스 설명자료 살펴보기  0501 글루 글로스 스쿱팁 0555 글루 글로스 컬러 소개 0651 소미허니 0713 메이플글레이즈 0739 피치우즈 0803 체리구 0828 츄이버블 0858 구매 방법
이자반,226610,일본여행 첫날부터 눈 마주치는 음식 전부 먹는 브이로그,안녕하세요? 이자반입니다. 다이어트가 끝나자마자 일본으로 떠났습니다.  한달간 제 알고리즘엔 각종 먹방 영상들로 가득했는데요   특히 그 중 가장 많은 비중을 차지했던 영상이 다름아닌 일본 음식들의 소개 영상이었습니다.  워낙 일본이란 나라를 좋아하기에  졸업 여행 느낌으로 다시금 찾았는데요  그 첫 행선지는 바로 오사카입니다. 스포를 하나 하자면 현재 도쿄에 와 있구요  자그마한 단칸방에서 온종일 편집했습니다. (알아달라는거 맞는것같아요. 감사합니다.)  이제 일본여행 영상들이 쭉 올라갈텐데  열심히 편집해서 자주자주 찾아뵙겠습니다.  언제나 좋아해주시고 격려해주시고 응원해주시고 많은 사랑 보내주시는 많은 분들께 감사의 말씀 전합니다. 감사랑합니다!  비즈니스 이메일 dragonizisandboxnetwork.net  촬영장비 오즈모 액션 5 프로  노트북 레노버 아이디어패드  방문한 식당 1번 라멘  무겐 라멘   2번 라멘  킨류라멘 미도스지점(본점보다 맛있습니다)   타코야키  타코야키 와나카 도톤보리   회전초밥  대기수산회전초밥 도톤보리점   메론빵  멜론 브레드   오코노미야키  야키소바  오코노미야키 이자카야 현   착장 17473 모자  7 34사이즈 아우터 유먼트 트러커자켓(현재 품절  재발매일정 없는것으로 앎) 두번째아우터 아크테릭스 바람막이(SV라고 쓰여있는데  5년도 더 전에 아부지께 물려받은거라 정보없음) 상의 아디다스 져지  L사이즈(살짝 작음) 두번째 유먼트  블랙 하의  차콜 L사이즈 신발 나이키 필드제너럴 280 양말 할아버지가주신거 장목양말 팬티 뭐입었더라 기억안남 반지  블랙  그리고 채우닭 이벤트는 곧 발표하겠습니다. 감사합니다!
아이네 INE,158193,나 최신폰 가진 여자야,250123  250225  250405 나 최신폰 가진 여자야 S25 샀습니다 산타를 안 믿었던 아이네  아이네 생방송  데친 숙주나물    아이네 다시보기  왁물원  인스타그램
픽고 PICKGO,695478,프로 손절러,웹드라마 아싸 새로다래  새콤달달한 연애 한 번 못해본 창덕궁 다래나무의 염원을 담아 새콤달달한 다래를 가득 담은 새로 다래의 이야기가 궁금하다면?    (이 영상은 롯데칠성음료로부터 제작비를 지원받아 제작되었습니다.)
JAYKEEOUT 제이키아웃,638248,Singing live undercover pretending to be a track (ft. BEAST) BGL  Background Live  JAYKEEOUT,MANSUN HOF HANNAM     This video was sponsored by INIC   email  jaykeeoutvyoova.com instagram    2025. VYOOVA Corp. All rights reserved.
planD플랜디,496803,나혼자 제주여행  뚜벅이로 종달리마을 힐링하는 자취일상. 제주바다보며 자전거타기. 불멍,이 영상은 플로로도라의 유료광고가 포함되어 있습니다   카밍아일랜드 40 off  플랜디 할인코드 자사몰 프로모션 국내 최초 병풀꽃 추출물 수분진정 라인 카밍아일랜드  전 상품을 구독자 전용 특가로 만나볼 수 있어요!  바로가기    ついにローンチフロロドラ日本公式ショップOPEN 今だけのローンチ特価でお試しいただけます     플랜디 구독자 이벤트 상품(100명) 플로로도라 퍼밍에센스수건 리미티드 기획세트 참여방법 댓글작성(내용자유)폼작성(폼 내용 이름 전화번호 플로로도라 자사몰 회원 가입 후 아이디) 폼링크 참여기간업로드직후5월6일(화) 23시59분까지 당첨자발표 5월8일(목) 남겨 주신 연락처로 당첨자 개별 문자 알림 (자사몰 상품 쿠폰으로 지급  직접 주문하시어 수령)  We kindly ask for your understanding that this giveaway event is only open to participants residing in Korea.  この抽選イベントは韓国にお住まいの方のみご参加いただけますのでご了承ください  안녕하세요 여러분  이번 영상은 혼자 제주여행 간 일상을 가져왔어요  내내 날씨가 너무 좋았고 조용한 마을에 핀 유채꽃도 예뻤고  맛있는것도 잘 먹고 돌아온 여행이었습니다  이번 일상도 편히 봐주세요. 감사합니다    청자켓  닐바이피 25SN denim crop shirts jacket BL 반팔 원피스  닐바이피 25SN pleats long ops 스커트  룩캐스트 아일라  롱 플레어 스커트_화이트     컨텐츠 제작의 마무리는 컨텐츠플라이! 글로벌 진출을 위한 최고의 파트너  CONTENTSFLY에서 제작되었습니다.
회사원A,526819,광고 보정 진심만 100 담은 쿠션 리뷰!!ㅣ홍조모공쟁이들 당장 들어왓!,얼굴이 빨개서 슬픈 아이지만... 여러분에게 도움이 됐다면 난 더 이상 슬프지 않ㅇr...  0234 정샘물 0504 파넬  0702 헤라 0939 웨이크메이크  1216 라네즈 1441 에스쁘아  1450 순위
김복순,202346,방구석에서 나홀로 부산 음식 탐방 1탄! 조방낙지 vs 비빔밀면  조방낙지낙곱새 춘하추동비빔밀면 직접만든생딸기타르트 설빙생딸기요거초코볼 고구마치즈돈까스 맥도날드상하이투움바버거,0000 조방낙지4인우동사리내가진짜떡볶이다당면수제만두15개 0930 직접만든생딸기타르트3호다람테이블레시피설빙생딸기요거초코볼 1635 맥도날드상하이투움바버거슈비투움바버거맥치킨모짜렐라버거베이컨토마토디럭스버거더블쿼터파운더치즈버거초코츄러스맥너겟8조각감자튀김양송이가득넣은크림스프 2601 춘하추동비빔밀면곱빼기3개원카츠고구마치즈돈까스2개  오늘의일기   오늘의일기   오늘의일기   오늘의일기   오늘의일기    생딸기타르트레시피다람테이블     먹방 먹방브이로그 mukbang
찰스엔터,1204729,오키나와까지 가서 아무것도 안하는vlog,연습생 여러분 안녕하세요!! 제 베프 현지랑 오키나와가서 4일 동안 푹쉬다 왔어요! 여행 가기 전에는 사실 가기 귀찮은 마음이 컸는데 다녀오니 저한테 너무 필요한 시간이었더라구요..  이번 영상도 재밌게 봐주시면 넘 감사하겠습니다!!   많이 물어봐주시는 정보!  도트 바람막이  릿킴(근데 현재 판매하지 않는 것 같아요ㅠㅠ 찾아봐도 왜 안나올까요..)  광각렌즈 정보  오즈모 포켓3 패키지 포함되어 있는 광각렌즈 사용 평소 아이폰15pro로 촬영 할 땐 넥스트 광각렌즈 0.3배율 사용 쿠팡에서 팔아요   목걸이 넘버링 십자가 목걸이 실버  선글라스 산드로 선글라스 SD6083 검정색    BGM 출처 링크  잠겨 죽어도 좋으니 너는 물처럼 내게 오라
띱 Deep,1725992,내가 좋아하는 사람은 왜 날 안 좋아할까,띱 연애  스케치코미디   짝사랑  아이디어 출처  라디오 12시엔 주현영  목동리서치 연구소 2025.4.11  후배여  김규남   선배남  윤혁준   후배친구남  윤태용   선배친구여  서수민   선배친구남  남중규
